name,email,website,bio,ted_url
Jennifer Aaker,,https://geni.us/tB3AR,,https://www.ted.com/speakers/jennifer_aaker
Sandra Aamodt,,http://www.sandraaamodt.com/,,https://www.ted.com/speakers/sandra_aamodt
Morra Aarons-Mele,,https://www.womenandwork.org/,,https://www.ted.com/speakers/morra_aarons_mele
Trevor Aaronson,,https://trevoraaronson.com/,,https://www.ted.com/speakers/trevor_aaronson
Chris Abani,,http://www.chrisabani.com/,,https://www.ted.com/speakers/chris_abani
Makhtoum Abdalla,,https://www.unicef.org/,,https://www.ted.com/speakers/makhtoum_abdalla
Simona Abdallah,,,,https://www.ted.com/speakers/simona_abdallah
Yassmin Abdel-Magied,,http://redefiningthenarrative.com.au/,,https://www.ted.com/speakers/yassmin_abdel_magied
Rana Abdelhamid,,https://www.malikah.org/,,https://www.ted.com/speakers/rana_abdelhamid
Shameran Abed,,http://bracultrapoorgraduation.org/,,https://www.ted.com/speakers/shameran_abed
