name,email,phone,address,website,city,category,search_type,source,scraped_at,description
The Best Restaurants & Deals Near You,,,,https://www.bing.com/ck/a?!&&p=fcb813c912adbb7c6b7775315601bdced733a89509fb4ae9ff6c990d581780c2JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cucmVzdGF1cmFudC5jb20v&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:48.478567,"Discover the largest selection of restaurants and 185,000+ deals near you. Save big every time you dine with Restaurant.com!"
Book the best restaurants nearby | OpenTable,,,,https://www.bing.com/ck/a?!&&p=7d9d4b63dcf9207d901b084acf20c2cfb99d199760384cc3aaba25df6e7fa4b0JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cub3BlbnRhYmxlLmNvbS9uZWFyYnk&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:48.856932,"3 days ago · Discover and book the best restaurants near your location. View menus, reviews, photos and choose from available dining times."
Best Restaurants Near Me - Tripadvisor,,,5 million restaurants worldwide with 760 million reviews and opinions from Tripadvisor trave,https://www.bing.com/ck/a?!&&p=c42c948502f6020ff1b65e16f4f5d497f7febcd45fdc06e173b2b254fcead7d1JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cudHJpcGFkdmlzb3IuY29tL1Jlc3RhdXJhbnRz&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:49.251977,Find restaurants near you from 5 million restaurants worldwide with 760 million reviews and opinions from Tripadvisor travelers.
Best Restaurants 2025 Near Me - Restaurant Guru,,,,https://www.bing.com/ck/a?!&&p=9860be04307b235459e0970678a84316e8347a04692310a9643bbd41eefbf0e9JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly9yZXN0YXVyYW50Z3VydS5jb20v&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:49.657255,Restaurant Guru allows you to discover great places to eat at near your location. Read restaurant menus and users' reviews about tasty food. View photos and ratings of open restaurants around you.
"Restaurants, Dentists, Bars, Beauty Salons, Doctors - Yelp",,,,https://www.bing.com/ck/a?!&&p=d8868900a3ec355400e224ca9b5bba873692845563f461ad7329119b2bd37c62JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cueWVscC5jb20vP21zb2NraWQ9MTRkNWU0MzgzMDI1NjBlMzFmM2JmMjY5MzEwYTYxY2Q&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:50.044977,People use Yelp to search for everything from the city's tastiest burger to the most renowned cardiologist. What will you uncover in your neighborhood?
"Restaurantji - Restaurant Menus, Reviews, Ratings and Locations",,,,https://www.bing.com/ck/a?!&&p=ad51d19bd52438e00dfe8ac5dc1f5ba4fea50a39b2dd197791e865dcffd823fbJmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cucmVzdGF1cmFudGppLmNvbS8&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:50.448439,"Explore places to eat near you. Browse menus from your favorite local restaurants, read the latest reviews. Find out what restaurants offering takeout and delivery."
The Best Restaurants Open Near Me | TheFork,,,,https://www.bing.com/ck/a?!&&p=78cd14d7f0a62946e978d24f20ab97a89e1aeb713f79f02cbc5635683bcb5541JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cudGhlZm9yay5jb20vbmVhci1tZQ&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:50.825188,Find the best restaurants nearby. Read restaurant reviews from our community and reserve your table online today!
Restaurants and Restaurant Bookings | OpenTable,,,,https://www.bing.com/ck/a?!&&p=684dc57f4233c40fa96ad13276093a4df47a03900062ec9f2e338f8bd7389daaJmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cub3BlbnRhYmxlLmNvbS8&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:51.202595,"Book online, read restaurant reviews from diners, and earn points towards free meals. OpenTable is a real-time online booking network for fine dining restaurants."
35 Best Restaurants in NYC Right Now: August 2025 - Time Out,,,,https://www.bing.com/ck/a?!&&p=43c0c3c6443d5ede145e5edd73079197a387c5ca1c22e92df64e3760ee438286JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cudGltZW91dC5jb20vbmV3eW9yay9yZXN0YXVyYW50cy8xMDAtYmVzdC1uZXcteW9yay1yZXN0YXVyYW50cw&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:51.592694,"Aug 6, 2025 · NYC's best restaurants include casual spots, fine dining destinations, and all the best places in town to eat and drink."
The 25 Best Restaurants in San Antonio Right Now! (2025),,,,https://www.bing.com/ck/a?!&&p=0a55e97a4ee1755546a87df98953a1271c0794732163d178743202b21d6a9fa3JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly90aGVzYW5hbnRvbmlvdGhpbmdzLmNvbS9iZXN0LXJlc3RhdXJhbnRzLWluLXNhbi1hbnRvbmlvLw&ntb=1,"New York, NY",,restaurant,Web Search,2025-08-22T22:13:51.996290,"Jan 28, 2025 · A map of the top restaurants in San Antonio, according to locals: tacos, BBQ, upscale dinner restaurants, quick lunch stops, and more."
Aspen Dental | Find a Dentist Near You for Dental Care,,,,https://www.bing.com/ck/a?!&&p=b2c2f5f22f6aea75b9cf4b6ff6c06ecbe0c4f1b56d716d1a162c95afb6ae9eefJmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cuYXNwZW5kZW50YWwuY29tLz9tc29ja2lkPTE0ZDVlNDM4MzAyNTYwZTMxZjNiZjI2OTMxMGE2MWNk&ntb=1,"New York, NY",,dental clinic,Web Search,2025-08-22T22:13:57.139917,"Aspen Dental dentists provide comprehensive & affordable dental services including dentures, dental implants, and dental checkups. Schedule an appointment!"
Delta Dental Insurance Login | Delta Dental,,,,https://www.bing.com/ck/a?!&&p=82f9f2460629227d57128082d488705158431bf4f7059f683d504be17b6e52c2JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cuZGVsdGFkZW50YWwuY29tL3VzL2VuL2xvZ2luLmh0bWw&ntb=1,"New York, NY",,dental clinic,Web Search,2025-08-22T22:13:57.567395,"Member login or account registration to view plan information, download forms, view claims, and track dental activity."
Frontier Dental | Quality Dental Supplies and Equipment,,,,https://www.bing.com/ck/a?!&&p=6f8792bae5843a2d7efbc83f8a2ab22b1f2b2beb62496748bdf0652480466b3aJmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cuZnJvbnRpZXJkZW50YWwuY29tL3VzL2VuL2hvbWU&ntb=1,"New York, NY",,dental clinic,Web Search,2025-08-22T22:13:57.979447,"Frontier Dental is North America's leading dental supplier, providing a wide range of quality products and equipment with no contracts required."
Individual and Family | Delta Dental,,,,https://www.bing.com/ck/a?!&&p=63b9626051068c30591ff56e78dec471413e9adff214cff209e42e29e83eadfcJmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=14d5e438-3025-60e3-1f3b-f269310a61cd&u=a1aHR0cHM6Ly93d3cuZGVsdGFkZW50YWwuY29tL3VzL2VuL3Byb2R1Y3QvaW5kaXZpZHVhbC1hbmQtZmFtaWx5Lmh0bWw&ntb=1,"New York, NY",,dental clinic,Web Search,2025-08-22T22:13:58.455050,"Shop affordable individual dental plans from America's largest dental insurance provider. Compare plans from Delta Dental including PPO, Premier, DeltaCare, and more."
